Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
1,0.0036,19.54,1.58,0.0997,40.42,1.51,23.29,1,1.53,51.79,34.23,6.3,6.1,6.7,53.06,19.3,71.14,71.75,41.23,41.83,5.7,5.77,3.64,4.09,21.57,20.51,13.43,12.12
2,0.0041,17.48,2.84,0.0942,36.87,1.19,21.11,1,1.4,50.23,33.44,2.87,8.12,6.93,55.89,18.16,65.08,64.85,40.13,40.13,6.52,5.88,3.35,3.19,21.79,20.27,10.8,10.54
3,0.0047,20.98,3.59,0.0812,33.35,1.59,20.02,5,2.14,55.34,37.67,3.05,6.02,7.42,43.6,16.46,67.5,68.84,27.44,27.7,5.73,5.46,3.08,2.87,20.42,20.34,9.28,8.57
4,0.0037,18.72,3.51,0.0925,32.74,1.31,21.03,5,1.59,58.08,35.7,6.33,7.76,7.09,52.11,20.15,73.47,74.26,15.07,15.35,6.31,6.89,1.31,1.73,20.78,21.8,4.55,3.87
5,0.0084,20.36,2.29,0.0731,31.69,1.33,20.87,5,1.49,54.11,25.73,3.17,5.41,4.86,39.76,22.57,51.33,51.49,31.06,30.88,3.82,3.83,2.28,2.29,19.14,18.44,9.52,8.88
6,0.0121,9.07,1.75,0.0751,23.15,1.76,21.04,5,1.96,51.02,33.82,7.77,8.17,5.33,50.55,18.1,72.01,73.16,34.91,41.17,4.39,4.15,2.6,3.68,16.43,19.91,12.95,13.83
7,0.0097,12.62,2.88,0.0752,23.38,2.28,19.41,5,2.71,54.51,36.3,9.87,7.76,6.3,60.85,22.6,55.83,59.7,36.54,37.4,4.82,5.13,4.21,3.62,20.61,18.26,11.59,14.95
8,0.0072,13.18,4.26,0.0801,24.56,1.45,21.17,5,2.78,31.22,11.77,0,7.65,5.34,51.74,17.54,60.51,64.09,35.66,38.01,6.06,6.58,3.14,3.02,20.89,21.93,14.79,14.15
9,0.004,12.76,2.57,0.0904,23.99,1.68,20.66,5,2.19,44.65,19.17,0,8.31,4.86,50.54,19.77,61.21,67.36,36.99,32.49,6.09,5.51,2.66,2.61,22.48,20.37,12.19,10.51
10,0.0098,6.84,1,0.0544,24.01,1.86,21.32,5,2.07,50.42,35.8,7.4,7.77,5.33,42.24,15.95,63.35,65.77,29.13,38.81,5.06,5.74,1.49,2.93,22.13,22.16,7.32,13.26
11,0.0035,9.92,2.86,0.0802,29.11,1.36,22.26,1,1.89,56.74,29.04,0,8.49,7.46,56.69,22.7,70.24,69.63,42.95,42.72,5.18,5.09,2.72,2.53,20.05,19.51,13.46,11.27
12,0.0081,11.16,2.91,0.0939,27.31,1.54,19.12,1,0.94,51.3,32.89,7.69,7.02,7.85,45.44,16.54,65.63,65.78,39.59,38.58,5.54,5.22,2.64,2.3,18.72,17.86,9.95,9.38
13,0.0085,10.9,2.46,0.0698,24.62,1.84,21.1,1,0.94,53.47,36.59,6.25,8.25,6.66,56.58,19.1,62.29,61.83,45.25,45,5.13,5.04,3.73,3.12,17.41,16.9,13.17,12.78
14,0.0076,11.05,2.96,0.0966,23.97,1.34,21.45,5,2.12,52.39,36.28,6.18,8.29,6.32,52.22,19.48,67.3,66.47,43.34,43.19,5.36,4.76,3.43,2.86,22.29,19.28,14.57,14.65
15,0.0065,10.17,2.42,0.0777,23.97,1.08,20.28,5,2.6,59.78,36.16,6.67,8.95,7.9,62.58,23.03,59.12,58.69,38.32,38.48,4.86,4.59,3.11,3.15,16.21,14.96,11.29,11.15
16,0.0059,14.19,4.33,0.0979,34.74,2.66,21.01,5,2.75,60.11,33.65,2.93,7.81,5.09,40.5,25.86,61.71,63.25,29.79,31.98,18.36,51.01,24.89,2.29,19.14,18.44,9.52,8.88
17,0.0084,12,4.64,0.0896,38.52,2.08,20.42,1,0.92,57.94,57.94,6.61,7.3,5.9,52.47,21.39,63.88,60.22,30.82,34,16.28,57.31,25.87,3.68,16.43,19.91,12.95,13.83
18,0.002,12.7,3.12,0.1096,36.83,2.14,19.87,5,2.79,55.85,55.85,7.04,7.74,5.58,36.85,16.6,74.71,72.22,28.36,34.49,13.91,65.29,24.4,3.62,20.61,18.26,11.59,14.95
19,0.0081,11.14,3.97,0.107,38.36,2.04,20.26,5,2.23,60.34,60.34,4.21,7.3,5.56,56.13,19.41,65.97,66.13,26.48,33.31,13.87,56.07,21.35,3.02,20.89,21.93,14.79,14.15
20,0.01,13.43,3.09,0.0628,34.56,1.25,21.03,5,1.91,50.27,50.27,6.79,7.24,5.67,53.34,20.17,67.97,70.12,27.33,32.26,13.73,54.76,21.87,2.61,22.48,20.37,12.19,10.51
,0.0072,11.08,1.61,0.1411,28.81,0.78,24.2,1,1.17,51.32,32.71,6.35,5.99,5.95,42.23,15.2,84.72,68.18,39.61,38.51,5.21,4.09,3.07,3.31,24.66,17.14,11.06,15.09
,0.0034,12.71,3.3,0.1212,26.13,1.9,21.85,1,1.58,37.09,14.7,0.49,6.15,6.94,50.08,17.49,79.78,69.41,38.16,37.12,5.35,4.58,5.06,2.78,23.8,21.79,12.6,10.02
,0.0088,12.01,1.91,0.0925,29.6,1.46,19.98,5,2.39,56.6,38.32,8.45,5.06,6.95,45.7,17.8,78.41,65.49,40.53,28.11,3.92,5.93,4.7,2.45,17.53,19.31,14.08,9.83
,0.0024,10.96,4.06,0.0985,25.77,1.55,21.85,5,1.77,49.99,34.15,5.25,5.12,7.08,46.83,16.59,62.78,76.75,48.28,37.53,5.58,5.55,3.83,2.67,17.75,21.69,12.38,11.61
,0.0067,11.69,2.7,1.1188,26.82,1.75,20.27,5,2.66,51.1,36.11,6.56,6.34,6.77,51.32,17.86,66.44,52.17,41.58,32.91,7.43,4.46,4.7,2.63,18.48,18.07,12.9,8.74
,0.0076,13.12,2.18,0.0697,22.5,1.78,21.38,11,2.41,48.23,19.65,0,7.12,7.12,58.52,21.59,57.46,48.92,31.51,40.05,5,4.23,2.92,3.04,18.32,12.85,9.32,13.34
,0.0079,12.63,2.41,0.0941,25.34,1.74,21.85,4,1.98,56.79,38.2,8.27,5.84,6.4,54.54,19.77,63.13,55.6,38.27,24.67,5.05,5.39,3.96,2.07,18.77,15.72,13.05,7.17
,0.0078,12.08,1.96,0.0667,23.69,1.26,20.55,10,1.84,51.24,34.26,5.3,5.34,6.18,50.68,15.36,66.15,69.39,25.97,31.87,6.18,5.75,1.79,2.98,17.85,14.7,6.53,11.86
,0.003,12.31,4.02,0.0936,30.04,1.61,20.93,9,2.01,49.52,34.17,7.51,5.76,7.19,52.62,19.57,84.81,66.29,30.87,27.99,7.34,4.92,3.86,1.91,24.71,19.42,10.96,10.35
,0.0022,10.76,3.46,0.0992,22.96,1.54,20.38,4,0.91,49.98,33.47,6.23,6.32,7.25,52.69,20.79,78.53,55.36,38.39,29.19,5.59,5.74,3.49,2.38,19.2,17.56,11.27,9.09
,0.0059,14.19,4.33,0.0979,34.74,2.66,21.01,5,2.75,60.11,33.65,2.93,7.81,5.09,40.5,25.86,61.71,60.89,29.79,30.98,31.98,32,18.36,19.79,51.01,50.91,24.89,26.01
,0.0084,12.07,4.64,0.0896,38.52,2.08,20.42,1,0.92,57.94,36.85,6.61,7.3,5.9,52.47,21.39,63.88,62.39,30.82,31.27,34,33.34,16.28,16.83,57.31,54.72,25.87,27.98
,0.002,12.72,3.12,0.1096,36.83,2.14,19.87,5,2.79,55.85,37.67,7.04,7.74,5.58,36.85,16.6,74.71,67.69,28.36,26.87,34.49,33.45,13.91,12.08,65.29,52.83,24.4,21.17
,0.0081,11.14,3.97,0.107,38.36,2.04,20.26,5,2.23,60.34,39.27,4.12,7.3,5.56,56.13,19.41,65.97,64.65,26.48,21.13,33.31,31.37,13.87,13.76,56.07,59.01,21.35,20.19
,0.01,13.43,3.09,0.0628,34.56,1.25,21.03,5,1.91,50.27,34.94,6.79,7.24,5.67,53.34,20.17,67.97,61.21,27.33,30.12,32.26,31.09,13.73,14.43,54.76,60.65,21.87,24.55
,0.0097,9.92,2.26,0.0942,27.37,1.7,24.59,1,1.43,55.35,32.85,3.87,7.44,7.04,51.04,17.72,60.69,60.77,42.99,41.6,5.44,4.8,4.86,3.66,18.51,18.59,12.02,13.05
,0.0034,10.43,3.9,0.0778,23.7,1.56,20.6,1,2.78,45.78,31.55,4.51,7.54,8.6,65.59,22.81,64.92,64.71,38.56,36.81,5.25,5.32,3.23,3.06,18.85,19.27,10.52,11.91
,0.0033,9.3,3.08,0.1117,32.1,1.51,22.6,1,1.853,54.5,24.07,1.97,7.79,6.76,54.14,4.86,77.15,75.95,38.78,36.42,6.85,6.65,3.34,4.27,19.66,19.35,13.21,13.8
,0.0084,9.61,2.04,0.0982,29.03,1.26,21.72,5,1.97,57.96,30.81,2.46,8.69,8.69,59.8,7.55,77.66,77,34.85,33.2,6.83,6.62,2.96,2.07,23.59,26.5,11.89,11.4
,0.0064,8.27,2.16,0.0816,23.03,2.03,20.65,5,4.24,59.97,39.41,5.23,6.36,6.39,48.75,4.95,82.72,81.86,29.95,29.05,6.6,6.16,2.97,2.7,24.23,25.07,10.72,10.38
